title,id,org_type,pageLink,logo,name_fa,name_en,name_short,location,post_location,internetAddress,contact,phone,about,expertise,history,manifest,coc,estimationOfMembers,political_orientation,markForEdit,social_telegram,social_facebook,social_youtube,social_x,social_instagram,created_at,updated_at,mark_for_delete,delete_reason,deleted_at,headerBg
Iranian-Justice-Collective,88,ORG,/op/Iranian-Justice-Collective,logos/88.png,,Iranian Justice Collective,,Canada,,https://www.ijcollective.com/,,,"about an Iranian diaspora group called the Iranian Justice Collective. The Iranian Justice Collective’s mission is to support Iranians working to establish a secular, democratic government. The group works to raise awareness and support for the Iranian revolution among democratic governments.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شورای-مسلمانان-سابق-بریتانیا,91,ORG,/op/شورای-مسلمانان-سابق-بریتانیا,logos/91.png,شورای مسلمانان سابق بریتانیا,Council of Ex-Muslims of Britain,,UK,"BM Box 1919London, WC1N 3XXUnited Kingdom",https://ex-muslim.org.uk/,exmuslimcouncil@gmail.com,,"Council of Ex-Muslims of Britain (CEMB) was formed in 2007 to break the taboo that comes with leaving Islam, highlight the plight of ex-Muslims and challenge Sharia laws.CEMB fights for the right to leave and criticise Islam without fear and intimidation. This is particularly important given that blasphemy, apostasy and atheism are punishable by death in a dozen countries under Islamic laws.CEMB stands against all forms of bigotry, xenophobia, racism and extremism and unequivocally defends reason, freedom of conscience and expression, equality, universal rights and secularism.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
همبستگی-با-ایران-سیدنی,35,ORG,/op/همبستگی-با-ایران-سیدنی,logos/35.png,همبستگی با ایران - سیدنی,Solidarity with Iran - Sydney,,AUS,,https://www.instagram.com/solidarity.with.iran/?hl=en,contact@iran2022.net,,"grassroots movement or group in Sydney, AUS, dedicated to supporting the ongoing protests and human rights struggles in Iran.",A group of independent social activists fighting for justice and human rights in Iran,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جوانان-متحد-ایران,78,ORG,/op/جوانان-متحد-ایران,logos/78.png,جوانان متحد ایران,United Youth of Iran,,,,https://www.iran-revolution.com/post/united-youth-of-iran,,,,The UYI is a non-politically oriented organization committed to achieving freedom for Iran by upholding the principles outlined in their manifest,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
رنسانس-ایرانی,146,ORG,/op/رنسانس-ایرانی,logos/temporary.png,رنسانس ایرانی,,,,,http://www.iranianrenaissance.com/,,,https://wechange.de/group/iran-liberation-movement/file/arman-namehpdf/download/arman-nameh.pdf,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Iranian-Diaspora-Collective,172,ORG,/op/Iranian-Diaspora-Collective,logos/temporary.png,,Iranian Diaspora Collective,,,,,,,,US,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-ایرانیان-جمهوری-خواه-جنوب-سوئد,104,P_ORG,/op/کانون-ایرانیان-جمهوری-خواه-جنوب-سوئد,logos/temporary.png,کانون ایرانیان جمهوری خواه جنوب سوئد,Center of Republican Iranians of South Sweden,,,,https://www.youtube.com/channel/UCfqnO9XVkPkgXvtcHvKtvbw             https://www.iranianrepublicans.org/,,,"Center of Republican Iranians of South Sweden (KIJS) is a pro-republican Iranian community in southern Sweden. This society was founded on the values ​​of the women's movement, life, liberty and the Universal Declaration of Human Rights. Its purpose is to create a society based on the values ​​of the democratic secular republic. This community welcomes Republicans and supporters of democratic struggles and civil movements.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
حامیان-انقلاب-زن،-زندگی،-آزادی-(واشنگتن-دی-سی),150,ORG,/op/حامیان-انقلاب-زن،-زندگی،-آزادی-(واشنگتن-دی-سی),logos/temporary.png,حامیان انقلاب زن، زندگی، آزادی (واشنگتن دی سی),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-فرهنگی-وسیاسی-ترکمن-صحرا,223,P_ORG,/op/کانون-فرهنگی-وسیاسی-ترکمن-صحرا,logos/temporary.png,کانون فرهنگی وسیاسی ترکمن صحرا,,,,,https://www.ilguji.org/,,,,,,https://archive.is/w2IqY,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سوئدی-مستقل,67,ORG,/op/سوئدی-مستقل,logos/67.png,سوئدی مستقل,,,SWE,,https://www.instagram.com/osi.1401/,,,,We at OSI are working to name a square in Gothenburg after 'Mahsa Jina Amini'.,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-مردم,9,ORG,/op/بنیاد-مردم,logos/9.png,بنیاد مردم,Mardom Foundation,,AUS,,https://mardomfoundation.org/,,,"The Mardom Foundation is a non-profit organization dedicated to promoting and protecting human rights, with a particular focus on Iran. Their primary goal is to help establish democracy in Iran by strengthening civil society and collective action. Also look: https://docs.google.com/forms/d/e/1FAIpQLSeVENLvX2UQpXNxi8KI4BxdkHwsOTx8cxON8h61LaW41jqykw/viewform",,,,,,,,,,,,https://www.instagram.com/mardom.foundation,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
صدای-بچه-های-ایران,76,ORG,/op/صدای-بچه-های-ایران,logos/76.png,صدای بچه های ایران,صدای بچه های ایران,,,,None,,,,,,,,,,,,,,https://x.com/bachehayeiran,https://www.instagram.com/sedayebachehayeiran/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
فعال-صنفی-ایرانی-در-ایتالیا,60,ORG,/op/فعال-صنفی-ایرانی-در-ایتالیا,logos/60.png,فعال صنفی ایرانی در ایتالیا,,,IT,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-اسماعیل-خویی,144,ORG,/op/بنیاد-اسماعیل-خویی,logos/temporary.png,بنیاد اسماعیل خویی,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-زنان-ایرانی-آمریکایی,16,ORG,/op/بنیاد-زنان-ایرانی-آمریکایی,logos/16.png,بنیاد زنان ایرانی آمریکایی,Iranian American Women Foundation,,USA,"19200 Von Karman -365Irvine, CA 92612",https://www.iawfoundation.org/,https://www.iawfoundation.org/contact-us/,,"The Iranian American Women Foundation (IAWF) is a non-profit organization dedicated to empowering and inspiring Iranian-American women of all ages and backgrounds. Founded in 2012, IAWF's mission is to foster the professional and personal growth of Iranian-American women and celebrate their achievements.","Support, empower, unite women","The idea for IAWF was conceived by Mariam Khosravani, who recognized the need for an organization to highlight and celebrate the achievements of Iranian-American women.",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Collective-98,154,ORG,/op/Collective-98,logos/temporary.png,,Collective 98,,"Berlin, DEmany",,https://collective98.blogspot.com/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گنجشک-درنده,183,گوناگون,/op/گنجشک-درنده,logos/temporary.png,گنجشک درنده,,,,,None,,,,,,,,,,,https://t.me/GonjeshkeDarande,,,https://x.com/gonjeshkdarand,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جمعی-آزادی-زندگی-زن,70,ORG,/op/جمعی-آزادی-زندگی-زن,logos/70.png,جمعی آزادی زندگی زن,,,,,https://www.instagram.com/womanlifefreedomcollective/?hl=en,,,https://linktr.ee/wlfkollektiv,Political OrganizationAutonomous Feminist Grassroot Supporting Jina's Revolution,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Hengaw,92,H_ORG,/op/Hengaw,logos/92.png,,Hengaw,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Transnational-Community-Federation,7,ORG,/op/Transnational-Community-Federation,logos/7.png,,Transnational Community Federation,,"Transnational, DEmany",,https://transcf.org,,,,"networks & digital democracy, intl. communities",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-مادران-انقلاب,122,ORG,/op/گروه-مادران-انقلاب,logos/temporary.png,گروه مادران انقلاب,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
فعالان-کرد-در-مالمو,86,ORG,/op/فعالان-کرد-در-مالمو,logos/86.png,فعالان کرد در مالمو,Kurdaktivister I Malmo,,,,,,,,,,,,,,,,,,,https://www.instagram.com/kurdaktivister/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-ایران-تحول-خواه-متحد,116,P_ORG,/op/گروه-ایران-تحول-خواه-متحد,logos/temporary.png,گروه ایران تحول خواه متحد,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-جهانی-ایران,82,ORG,/op/انجمن-جهانی-ایران,logos/82.png,انجمن جهانی ایران,Global Iranian Association,,,,https://www.globaliranianassociation.com/,info@globaliranianassociation.com,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
نهاد-کودکان-مقدمند-(-کمپین-بین-المللی-در-دفاع-از-حقوق-کودکان),125,ORG,/op/نهاد-کودکان-مقدمند-(-کمپین-بین-المللی-در-دفاع-از-حقوق-کودکان),logos/temporary.png,نهاد کودکان مقدمند ( کمپین بین المللی در دفاع از حقوق کودکان),,,,,https://www.childrenfirstnow.com/,childrenfirstnow1@gmail.com,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-زندگی-آزادی--نورنبرگ,39,ORG,/op/زن-زندگی-آزادی--نورنبرگ,logos/39.png,زن زندگی آزادی- نورنبرگ,Women Life Freedom - Nurenberg,,"Nuremberg, DEmany",,https://www.womanlifefreedomnuernberg.de/,womanlifefreedomnuernberg@gmail.com,,"We are an association of activists who came together to campaign for “Woman, Life, Freedom” after the murder of Jina Mahsa Amini on September 16, 2022 and the start of the Women, Life, Freedom Revolution in Iran. As a registered association in Nuremberg, DEmany, we are committed to a secular and democratic society in Iran.Our members represent different nationalities, ages, faiths, ideologies and genders, and we value and promote this diversity.","The magnitude of mobalization of resources among Iranians was a victory on the streets and in the media, inside and outside Iran. But the path to freedom is not short or easy.","September 16, 2022",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ما-مهسا-امینی-هستیم,6,ORG,/op/ما-مهسا-امینی-هستیم,logos/6.png,ما مهسا امینی هستیم,We Are Mahsa Amini,,Everywhere,,https://wearemahsaamini.com/,Shafiee Sabet: https://github.com/sssabet,,,Broadcasting,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بنیاد-مهسا-(-دانمارک),139,ORG,/op/بنیاد-مهسا-(-دانمارک),logos/temporary.png,بنیاد مهسا ( دانمارک),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Red-roots,157,ORG,/op/Red-roots,logos/temporary.png,,Red roots,,"Maschester, UK",,https://redrootscollective0.blog/,redrootscollectivemcr@gmail.com,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
منجنیق,165,رسانه,/op/منجنیق,logos/temporary.png,منجنیق,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جامعه-بین-المللی-دانشگاهیان-ایران,3,ORG,/op/جامعه-بین-المللی-دانشگاهیان-ایران,logos/3.png,جامعه بین المللی دانشگاهیان ایران,INTERNATIONAL COMMUNITY OF IRANIAN ACADEMICS,,"Europe, New Zeland, AUS, North America",,https://icoia.org/,https://icoia.org/contact-us-1,,sdasdaasdas,various,,,,200,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-مانا,50,ORG,/op/انجمن-مانا,logos/50.png,انجمن مانا,Associazione Mana,,Metropolitan City of Rome Capital in Italy,,https://www.associazionemana.org/,associazionemanatorino@gmail.com,,Mana is a social promotion association founded in July 2020 by some young professionals who already work within the network of the Prisma Project – for Helping Relations.,,July 2020,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-دفاع-از-حقوق-بشر-همبستگی-جمهوریخواهان-ایران-(هجا),111,H_ORG,/op/کمیته-دفاع-از-حقوق-بشر-همبستگی-جمهوریخواهان-ایران-(هجا),logos/temporary.png,کمیته دفاع از حقوق بشر همبستگی جمهوریخواهان ایران (هجا),,,,,https://iranian-republic.org/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
صدای-ایران-واشنگتن,33,ORG,/op/صدای-ایران-واشنگتن,logos/33.png,صدای ایران واشنگتن,Voice of Iran,,US/Wa,,https://www.voiceofiran.org/,info@voiceofiran.org,,Voice of Iran WA is a non-governmental organization (NGO) founded in Washington State. They advocate for human rights and democracy in Iran. They also provide support to the Iranian community in Washington State.,The “Voice of Iran” [VOI] is a WA State non-governmental organization [NGO] founded by Arezou Bagan.,September 2022,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تلویزیون-گردآفرید,143,ORG,/op/تلویزیون-گردآفرید,logos/temporary.png,تلویزیون گردآفرید,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
عاشقان-ایران,27,ORG,/op/عاشقان-ایران,logos/27.png,عاشقان ایران,IRAN LOVERS,,"Toronto, Canada",,https://www.iranlovers.org/,,+1(437)445-1401,"Supporting the ongoing struggle for freedom in Iran. They actively participate in and organize rallies, demonstrations, and other events to raise awareness about the human rights situation in Iran and show solidarity with those fighting for change within the country.Amplifying the voices of Iranians fighting for freedom. They use their platform to share stories, news, and perspectives from Iranians on the ground, ensuring their voices are heard globally.","Iran Lovers is a non-profit, non-partisan organization comprised of Iranians in the diaspora. We support and amplify the voices of those fighting for freedom in Iran.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمپین-نه-به-اعدام,211,H_ORG,/op/کمپین-نه-به-اعدام,,کمپین نه به اعدام,,,,,https://twitter.com/NoToExecution_,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ستاد-زن،-زندگی،-آزادی-مونترال,100,ORG,/op/ستاد-زن،-زندگی،-آزادی-مونترال,logos/temporary.png,ستاد زن، زندگی، آزادی مونترال,"Montreal Women, Life, Freedom Headquarters",,,,https://www.instagram.com/femmevielibertemtl/,,,"The headquarters of 'Women, Life, Freedom' Montreal is an active and organized group in the city of Montreal, Canada, which works in support of the 'Women, Life, Freedom' movement in Iran and the fight against the regime of the Islamic Republic. By organizing gatherings, protests, and cultural and artistic programs, this headquarters brings the voice of Iranian people's protest to the world and demands freedom and equality for women and all Iranian people.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-یادمان-کشتار-زندانیان-سیاسی-دهه-۶۰-مونترال,114,ORG,/op/کمیته-یادمان-کشتار-زندانیان-سیاسی-دهه-۶۰-مونترال,logos/temporary.png,کمیته یادمان کشتار زندانیان سیاسی دهه ۶۰ مونترال,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-مالموکرد,85,ORG,/op/انجمن-مالموکرد,logos/85.png,انجمن مالموکرد,Malmokurd Forening,,,,https://mkforening.wordpress.com/,malmokurdforening@gmail.com,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مرکز-اسناد-حقوق-بشر-ایران,23,H_ORG,/op/مرکز-اسناد-حقوق-بشر-ایران,logos/23.png,مرکز اسناد حقوق بشر ایران,Iran Human Rights Documentation Center,,USA,"New Haven, Connecticut, USA     129 Church StreetSuite 101New Haven, CT 06510",https://iranhrdc.org/,info@iranhrdc.org,,The Iran Human Rights Documentation Center (IHRDC) is a non-profit organization dedicated to promoting human rights and accountability in Iran.,,"Founded in 2004, amidst growing concerns about the lack of comprehensive documentation of human rights abuses in Iran.",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تیرگان-2023,73,ORG,/op/تیرگان-2023,logos/73.png,تیرگان 2023,Tirgan 2023,,CA,,https://tirgan.ca/,info@tirgan.ca,,,"Tirgan is a nonpartisan, non-religious, nonprofit Canadian registered charitable organization committed to promoting cross-cultural dialogue between Iranian-Canadians and the global community at large, through year-round production of cultural programs including festivals.",,,,,,,,,,,https://www.instagram.com/dr.rezamoridi/?hl=en,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-زندگی-آزادی-نیویورک,38,ORG,/op/زن-زندگی-آزادی-نیویورک,logos/temporary.png,زن زندگی آزادی نیویورک,Woman Life Freedom NYC,,US,,https://wlfnyc.org/,,,"Woman Life Freedom NYC is a non-profit organization dedicated to amplifying the voices of the ongoing movements in Iran, particularly focusing on the fight against oppression and supporting the woman-led uprising.They are committed to fostering solidarity between the Iranian diaspora and those fighting for freedom within Iran.",Woman Life Freedom NYC is an independent nonprofit organization dedicated to accurately amplifying the voices of movements inside Iran to build solidarity with them and their fight against all types of oppression.,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
freedom4iran-canberra,66,ORG,/op/freedom4iran-canberra,logos/66.png,,freedom4iran canberra,,AUS,,https://www.instagram.com/freedom4iran.canberra,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-بین-المللی-علیه-اعدام,109,ORG,/op/کمیته-بین-المللی-علیه-اعدام,logos/temporary.png,کمیته بین المللی علیه اعدام,,,,,https://x.com/icae14?lang=en,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شورای-هماهنگی-رسانه‌های-مردمی-و-مبارز,220,P_ORG,/op/شورای-هماهنگی-رسانه‌های-مردمی-و-مبارز,,شورای هماهنگی رسانه‌های مردمی و مبارز,,,,,https://t.me/Shorayhamahangi,,,,,,,,,,,https://t.me/SedaiazadiAD,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-دفاع-از-حقوق-بشر-در-ایران اتریش,110,ORG,/op/کمیته-دفاع-از-حقوق-بشر-در-ایران اتریش,logos/temporary.png,کمیته دفاع از حقوق بشر در ایران – اتریش,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
STAGE-OF-FREEDOM,28,ORG,/op/STAGE-OF-FREEDOM,logos/28.png,,STAGE OF FREEDOM,,UK,,https://stageoffreedom.com/,https://stageoffreedom.com/contact/,,"Since September 2022 Iranians of all backgrounds have come together to build a free and democratic Iran and the British Iranian diaspora is no exception.We are independent and are not linked to or representative of any political party or opposition group, our sole mission is to use art and performances as a medium to highlight the brutality that innocent freedom fighting civilians face in Iran and to raise awareness amongst the British Public.","A group of democratic activists with various political affiliation, Iran’s freedom is our only goal through art and performances.",September 2022,,,,,,,,,,https://www.instagram.com/stage_of_freedom,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جنبش-توسعه-و-مدنیت,245,P_ORG,/op/جنبش-توسعه-و-مدنیت,logos/temporary.png,جنبش توسعه و مدنیت,,,,,https://www.nafarmani.net/,,,,,,https://www.nafarmani.net/index.php/documents/statute,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-حقوق-بشر-ایران،-نروژ,,,/op/سازمان-حقوق-بشر-ایران،-نروژ,,سازمان حقوق بشر ایران، نروژ,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-مینه-سوتا-در-حمایت-از-ایران-دموکراتیک,41,ORG,/op/کمیته-مینه-سوتا-در-حمایت-از-ایران-دموکراتیک,logos/41.png,کمیته مینه سوتا در حمایت از ایران دموکراتیک,Minnesota Committee in Support of a Democratic Iran (MCSDI),,US,,https://mcsdi.org/,mnrallyforiran@gmail.com,,The Minnesota Committee in Support of a Democratic Iran (MCSDI) is an Iranian-American organization located in Minnesota. Its primary goal is to raise awareness about the human rights violations occurring in Iran and to advocate for the pro-democracy movement within the country.,"MCSDI is an Iranian-American organization based in Minnesota with the goal of raising awareness of the violations of human rights in Iran, and to garner support for the pro-democracy movement of the Iranian people.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
خطای-امنیتی-(ERRORsec),186,گوناگون,/op/خطای-امنیتی-(ERRORsec),logos/temporary.png,خطای امنیتی (ERRORsec),,,,,http://errorsec.blogfa.com/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
تشکل-ها-و-جمع-های-دانشجویی-دانشگاه‌های-سراسر-ایران-(هفده-تشکل-و-گروه-دانشجویی),142,ORG,/op/تشکل-ها-و-جمع-های-دانشجویی-دانشگاه‌های-سراسر-ایران-(هفده-تشکل-و-گروه-دانشجویی),logos/temporary.png,تشکل ها و جمع های دانشجویی دانشگاه‌های سراسر ایران (هفده تشکل و گروه دانشجویی),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ناشناس‌ها-(انانیموس),184,گوناگون,/op/ناشناس‌ها-(انانیموس),logos/temporary.png,ناشناس‌ها (انانیموس),,,,,https://www.anonymoushackers.net/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-آزادی-زندانیان-سیاسی,96,ORG,/op/کمیته-آزادی-زندانیان-سیاسی,logos/temporary.png,کمیته آزادی زندانیان سیاسی,Committee for the release of political prisoners,,,,http://www.cfppi.org/,cfppiiran2006@gmail.com,,"The Committee for the Release of Political Prisoners is a group or non-governmental organization that works for the release of people imprisoned for their political activities or beliefs. These committees usually include human rights activists, lawyers, journalists, families of political prisoners, and other concerned individuals.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
اتاق-فکر-مدیریت-تغییر-هوشمند-برای-حقوق-بشر,34,ORG,/op/اتاق-فکر-مدیریت-تغییر-هوشمند-برای-حقوق-بشر,logos/34.png,اتاق فکر مدیریت تغییر هوشمند برای حقوق بشر,Intelligent Change Management Think Tank for Human Rights,,"Barrie, Ontario, Canada",,https://icmhr.org/,,,"The Intelligent Change Management Think Tank for Human Rights is a Canadian non-profit organization located in Barrie, Ontario. It was founded by Dr. Alan Bostakian.    Change Management: Provides advisory, research, and education services on change management and leadership.Human Rights: Focuses on human rights issues, although specifics aren't readily available online.Persian and Iranian Communities: Develops events and training programs related to these communities.",the Intelligent Change Management Think Tank for Human Rights is a federally registered Canadian not-for-profit organization.,Founded by Dr. Alan Bostakian,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-موزیک-برای-ایران,123,ORG,/op/گروه-موزیک-برای-ایران,logos/temporary.png,گروه موزیک برای ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جامعه-ایرانیان-FNQ,53,ORG,/op/جامعه-ایرانیان-FNQ,logos/53.png,جامعه ایرانیان FNQ,FNQ Iranian Community,,AUS,"28 Eagle Terrace, Milton QLD 4064, AUS.",https://www.facebook.com/profile.php?id=100065039942588&locale=hi_IN,,,"The Iranian community in Far North Queensland (FNQ) is a relatively small but growing community. Many individuals have moved to the region for reasons like pursuing academic opportunities, seeking a safer environment, or enjoying a better quality of life.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminista-Melbourne,161,ORG,/op/Feminista-Melbourne,logos/temporary.png,,Feminista Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-ایران-سولیداریتی-تورنتو,118,ORG,/op/گروه-ایران-سولیداریتی-تورنتو,logos/temporary.png,گروه ایران سولیداریتی تورنتو,,,,,https://www.facebook.com/groups/699156160154957/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
نهاد-نه-به-تابو،-نه-به-خشونت-علیه-زنان,95,ORG,/op/نهاد-نه-به-تابو،-نه-به-خشونت-علیه-زنان,logos/temporary.png,نهاد نه به تابو، نه به خشونت علیه زنان,"No to taboo, no to violence against women",,,,,nabaxoshonat@gmail.com,,"No to taboo, no to violence against women' institution is an important social movement that was formed with the aim of fighting violence against women and breaking gender taboos in society. With its wide-ranging activities, this organization strives to raise public awareness about domestic violence, sexual harassment, honor killings and other forms of discrimination against women.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
رسانه-سیاسی-اجتماعی-نان-و-گل-سرخ,98,ORG,/op/رسانه-سیاسی-اجتماعی-نان-و-گل-سرخ,logos/temporary.png,رسانه سیاسی اجتماعی نان و گل سرخ,Bread and Rose Social Political Media,,,,,,,"Bread and Rose' seems to be an independent blog or media that focuses on economic, social and political issues of the society. Based on the limited information available, it appears that the outlet is likely to promote left-wing and feminist views and address issues such as gender equality, workers' rights, and social justice.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-ایران-سولیداریتی-اتاوا,117,ORG,/op/گروه-ایران-سولیداریتی-اتاوا,logos/temporary.png,گروه ایران سولیداریتی اتاوا,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمپین-اتحاد-برای-زم,212,H_ORG,/op/کمپین-اتحاد-برای-زم,,کمپین اتحاد برای زم,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
